id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
1649,CR-503505-212-BallardvaleMaldenCenterNStaReading,CR-Haverhill,1,12:57:00,20211129,SCHEDULED,1649,1649,,42.50556945800781,-71.13800048828125,162.0,0.0,22.399999618530273,130,BNT-0000,IN_TRANSIT_TO,1638211303,UNKNOWN_CONGESTION_LEVEL,
y1659,49321855,21,1,13:17:00,20211129,SCHEDULED,y1659,1659,,42.30043029785156,-71.11356353759766,203.0,0.0,0.0,1,875,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1871,49182597,22,0,13:19:00,20211129,SCHEDULED,y1871,1871,,42.293575286865234,-71.0834732055664,112.0,0.0,0.0,19,421,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0833,49378758,230,0,14:00:00,20211129,SCHEDULED,y0833,0833,,42.2603759765625,-71.01011657714844,0.0,0.0,0.0,1,32003,IN_TRANSIT_TO,1638211306,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1682,49322499,41,0,13:24:00,20211129,SCHEDULED,y1682,1682,,42.321311950683594,-71.07215881347656,359.0,0.0,0.0,9,1484,IN_TRANSIT_TO,1638211322,UNKNOWN_CONGESTION_LEVEL,MANY_SEATS_AVAILABLE
y1969,49299722,80,1,,20211129,SCHEDULED,y1969,1969,,42.371089935302734,-71.0770492553711,135.0,0.0,0.0,1,14150,IN_TRANSIT_TO,1638211266,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0421,49394408,28,0,13:26:00,20211129,SCHEDULED,y0421,0421,,42.31364059448242,-71.08369445800781,175.0,0.0,0.0,13,410,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,
y0694,49177869,57,0,13:20:00,20211129,SCHEDULED,y0694,0694,,42.34894943237305,-71.16191864013672,270.0,0.0,0.0,21,977,IN_TRANSIT_TO,1638211324,UNKNOWN_CONGESTION_LEVEL,
y1898,49182609,22,0,13:30:00,20211129,SCHEDULED,y1898,1898,,42.331111907958984,-71.09503173828125,234.0,0.0,0.0,4,1260,IN_TRANSIT_TO,1638211324,UNKNOWN_CONGESTION_LEVEL,MANY_SEATS_AVAILABLE
G-10004,49245896-20:45-2BKHFenwayReservoirGLBNoGLX,Green-B,0,13:14:00,20211129,SCHEDULED,G-10004,3633-3830,,42.35070037841797,-71.12983703613281,270.0,0.0,0.0,220,70131,INCOMING_AT,1638211302,UNKNOWN_CONGESTION_LEVEL,
